SampleID,Fire,Transect,Replicate,Timepoint,Kingdom,BurnCat,Date,Timeframe,otu.H,otu.N1,otu.N2,S.obs,initialchar,OM,P1,HCO3_P,PH,K,NA.,H,CEC,S,CopyNumber,PCA1,PCA2
B16BU1AT2,Burro,L1,A,1st Postfire,Bacteria,Unburned,7-Jun-18,2 Weeks,6.405230967,605.0015178,424.4368146,911,0,4.6,6.2,6.9,6.1,87.2,37.4,1.7,11.9,7.5,588620.0405,0.955203346,1.372773265
B17BU1BT2,Burro,L1,B,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.333768309,563.2751947,408.3482896,848,72,5.5,2.7,5.6,6.2,120.5,57.2,1.6,13.3,7.5,620089.2953,1.202295106,-0.16452721
B18BU1CT2,Burro,L1,C,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.307265815,548.5430785,379.9989746,839,27,6.4,10,9.2,6.1,152.8,42.9,1.8,12.5,8.3,619261.6836,0.606038554,-0.180943079
B19BU1DT2,Burro,L1,D,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.240679963,513.2073543,363.1624256,789,0,5.3,15.6,13.8,6.1,342.6,29,1.8,12.7,8.2,744433.356,-1.238895575,0.872359444
B20BU1ET2,Burro,L1,E,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.373513182,586.1133388,423.2327825,860,0,4.4,6.3,5.1,6.1,107.9,43.7,1.5,10.5,8.5,625727.0094,1.185138457,1.235264657
B21BU2AT2,Burro,L2,A,1st Postfire,Bacteria,Unburned,7-Jun-18,2 Weeks,6.539868018,692.1952149,496.5226017,1015,0,6.4,15.3,13.6,5.7,178.9,47.2,2.6,12.3,7.8,609932.3029,1.100600318,-0.073701851
B22BU2BT2,Burro,L2,B,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.365378777,581.364994,418.6180234,849,84,4.6,1.6,4.8,5.9,138.1,54.6,2.3,13.8,7.2,648944.0453,1.495037877,0.474895386
B23BU2CT2,Burro,L2,C,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.363192025,580.0950821,414.0943627,862,50,4.3,3.8,4.4,5.9,85.3,56.2,2.4,14.2,9.9,610793.5663,1.586317996,-0.064742764
B24BU2DT2,Burro,L2,D,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.26244568,524.5001325,385.7458354,765,75,3.9,18.6,16.1,5.7,405.9,43.3,2.1,9.9,11.4,557233.9832,-0.64149075,0.977548544
B25BU2ET2,Burro,L2,E,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.427688386,618.7420007,396.0149746,948,0,5.1,3.7,5.8,5.8,135.5,49.6,2.1,11.2,8.7,664813.1901,1.638918141,0.496417665
B26BU3AT2,Burro,L3,A,1st Postfire,Bacteria,Unburned,7-Jun-18,2 Weeks,6.700152018,812.5293352,485.2885348,1260,0,7.1,8.6,8.5,5.6,137.8,41.7,2.7,11.7,10.1,713263.3265,1.51353906,-0.722742335
B27BU3BT2,Burro,L3,B,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.696548086,809.6063046,502.4800245,1223,38,5.7,8,5.9,5.5,144.8,49.7,3.1,11.9,14,841858.403,1.615859153,-1.142222092
B28BU3CT2,Burro,L3,C,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.470337422,645.7015641,436.2966322,997,45,6.4,6.9,8.2,5.7,189.6,45.2,2.4,11.7,10.8,628442.155,1.078892681,-0.661429339
B29BU3DT2,Burro,L3,D,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.318568672,554.7783542,381.1840119,843,43,5.5,7.6,6.2,5.6,156.6,33.6,2.5,10.7,8.7,672298.4723,1.401336979,0.954914538
B30BU3ET2,Burro,L3,E,1st Postfire,Bacteria,Burned,7-Jun-18,2 Weeks,6.551749729,700.4687324,472.0564464,1064,92,6.3,15.8,7.4,5.8,174.9,51,2.3,12.3,10.2,686077.325,1.202591467,-0.795755391
B46BU1AT4,Burro,L1,A,Nov,Bacteria,Unburned,23-Nov-18,6 Months,6.456468754,636.8083544,368.0836693,1059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,811203.2342,0.955203346,1.372773265
B47BU1BT4,Burro,L1,B,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.548702068,698.3371912,448.0107805,1082,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,558220.4254,1.202295106,-0.16452721
B48BU1CT4,Burro,L1,C,Nov,Bacteria,Burned,23-Nov-18,6 Months,6.337853044,565.5807301,375.4392471,871,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,548292.7665,0.606038554,-0.180943079
