SampleID,Fire,Transect,Replicate,Timepoint,Kingdom,BurnCat,Date,Timeframe,otu.H.fun,otu.N1,otu.N2,S.obs,initialchar,OM,P1,HCO3_P,PH,K,NA.,H,CEC,S,CopyNumber,PCA1,PCA2
F16BU1AT2,Burro,L1,A,1st Postfire,Fungi,Unburned,7-Jun-18,2 Weeks,4.143256586,63.00767759,25.1009183,285,0,4.6,6.2,6.9,6.1,87.2,37.4,1.7,11.9,7.5,57807.97575,0.955203346,1.372773265
F17BU1BT2,Burro,L1,B,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,4.835976247,125.9614928,53.97817928,409,72,5.5,2.7,5.6,6.2,120.5,57.2,1.6,13.3,7.5,102577.5886,1.202295106,-0.16452721
F18BU1CT2,Burro,L1,C,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,4.75560167,116.2335664,56.3383854,348,27,6.4,10,9.2,6.1,152.8,42.9,1.8,12.5,8.3,90831.01008,0.606038554,-0.180943079
F19BU1DT2,Burro,L1,D,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,4.573290487,96.86231011,23.62564111,372,0,5.3,15.6,13.8,6.1,342.6,29,1.8,12.7,8.2,109564.6494,-1.238895575,0.872359444
F20BU1ET2,Burro,L1,E,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,3.844628088,46.74129745,14.43182306,283,0,4.4,6.3,5.1,6.1,107.9,43.7,1.5,10.5,8.5,76416.60592,1.185138457,1.235264657
F21BU2AT2,Burro,L2,A,1st Postfire,Fungi,Unburned,7-Jun-18,2 Weeks,4.10681039,60.752631,19.37399926,305,0,6.4,15.3,13.6,5.7,178.9,47.2,2.6,12.3,7.8,115908.7575,1.100600318,-0.073701851
F22BU2BT2,Burro,L2,B,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,4.509815055,90.90500452,46.59872308,310,84,4.6,1.6,4.8,5.9,138.1,54.6,2.3,13.8,7.2,159137.1402,1.495037877,0.474895386
F23BU2CT2,Burro,L2,C,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,4.046691793,57.20788814,25.78621992,239,50,4.3,3.8,4.4,5.9,85.3,56.2,2.4,14.2,9.9,105269.8312,1.586317996,-0.064742764
F24BU2DT2,Burro,L2,D,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,3.312038667,27.44101158,7.949125121,276,75,3.9,18.6,16.1,5.7,405.9,43.3,2.1,9.9,11.4,120371.0225,-0.64149075,0.977548544
F25BU2ET2,Burro,L2,E,1st Postfire,Fungi,Burned,7-Jun-18,2 Weeks,4.924866091,137.6709051,73.53781003,383,0,5.1,3.7,5.8,5.8,135.5,49.6,2.1,11.2,8.7,123782.6988,1.638918141,0.496417665
F26BU3AT2,Burro,L3,A,1st Postfire,Fungi,Unburned,7-Jun-18,2 Weeks,4.518610749,91.70810384,38.72406552,334,0,7.1,8.6,8.5,5.6,137.8,41.7,2.7,11.7,10.1,131024.6657,1.51353906,-0.722742335
